Review,Class
This is such a good movie. I'm huge fan of the hero,1
Amazing movie. Worth watching,1
what a movie!!!! Absulately love it,1
Very good movie.I would love to rewatch it,1
what a amazing acting. Loved the whole story,1
Worst movie so far,2
Vey bad movie. I don't like it,2
I like the movie.I will definately recommend it,1
So boring movie. Not worth watching,2
"bad acting , worst director. Everything is so boring. The movie disppointed me",2
Literally waste my time. Not a good movie,2
"amazing, amazing. I will rewatch it.",1
disguisting acting by the hero. Won't reccomend it,2
Disappointed by the actor. Wasted 2 hours of my life,2
love the movie. Will Recommend it,1